DFT_ID,Alloy,Ti,Zr,Hf,V,Nb,Ta,Mo,W,Re
DFT_0248,Zr5Nb92Mo2W1,0,5,0,0,92,0,2,1,0
DFT_0249,Zr6Ta84W9Re1,0,6,0,0,0,84,0,9,1
DFT_0250,Zr6Ta91W3,0,6,0,0,0,91,0,3,0
DFT_0251,Zr6Nb24Ta24Mo24W22,0,6,0,0,24,24,24,22,0
DFT_0252,Zr6Nb90Mo2W2,0,6,0,0,90,0,2,2,0
DFT_0253,Zr7Nb22Ta22Mo23W26,0,7,0,0,22,22,23,26,0
DFT_0254,Zr7Nb86Ta1Mo2W4,0,7,0,0,86,1,2,4,0
DFT_0255,Zr16Nb20Ta20Mo20W24,0,16,0,0,20,20,20,24,0
DFT_0256,Zr29Nb33Ta38,0,29,0,0,33,38,0,0,0
DFT_0257,Ti1Zr3Mo96,1,3,0,0,0,0,96,0,0
DFT_0258,Ti2Zr6Hf6Nb86,2,6,6,0,86,0,0,0,0
DFT_0259,Ti3V10Nb39Ta40Mo8,3,0,0,10,39,40,8,0,0
DFT_0260,Ti4Nb24Ta23Mo24W25,4,0,0,0,24,23,24,25,0
DFT_0261,Ti5Zr1Hf2Nb92,5,1,2,0,92,0,0,0,0
DFT_0262,Ti6V12Nb41Ta41,6,0,0,12,41,41,0,0,0
DFT_0263,Ti8V15Nb40Ta35Mo2,8,0,0,15,40,35,2,0,0
DFT_0264,Ti8Zr3Nb76Mo5W8,8,3,0,0,76,0,5,8,0
DFT_0265,Ti10Hf10Nb55Ta25,10,0,10,0,55,25,0,0,0
DFT_0266,Ti11V22Nb33Ta34,11,0,0,22,33,34,0,0,0
DFT_0267,Ti13Nb22Ta22Mo23W20,13,0,0,0,22,22,23,20,0
DFT_0268,Ti13Hf15Nb43Ta22Re7,13,0,15,0,43,22,0,0,7
DFT_0269,Ti14Nb21Ta21Mo21W23,14,0,0,0,21,21,21,23,0
DFT_0270,Ti14Hf10V6Nb45Ta25,14,0,10,6,45,25,0,0,0
DFT_0271,Ti14Zr14Hf11Nb14Ta14Mo19W14,14,14,11,0,14,14,19,14,0
DFT_0272,Ti15Hf11V4Nb35Ta35,15,0,11,4,35,35,0,0,0
DFT_0273,Ti16Zr16Hf22Nb17Ta17W12,16,16,22,0,17,17,0,12,0
DFT_0274,Ti16Zr17Hf21Nb17Ta17Mo12,16,17,21,0,17,17,12,0,0
DFT_0275,Ti17V14Nb17Ta16Mo17W19,17,0,0,14,17,16,17,19,0
DFT_0276,Ti17V26Nb29Ta28,17,0,0,26,29,28,0,0,0
DFT_0277,Ti17Zr43Nb30Ta10,17,43,0,0,30,10,0,0,0
DFT_0278,Ti19Hf11Nb45Ta25,19,0,11,0,45,25,0,0,0
DFT_0279,Ti19Zr5Hf11Nb40Ta25,19,5,11,0,40,25,0,0,0
DFT_0280,Ti20Nb73Mo7,20,0,0,0,73,0,7,0,0
DFT_0281,Ti20V16Nb20Ta20W24,20,0,0,16,20,20,0,24,0
DFT_0282,Ti20Hf18Nb20Ta20Mo22,20,0,18,0,20,20,22,0,0
DFT_0283,Ti20Zr3Nb77,20,3,0,0,77,0,0,0,0
DFT_0284,Ti20Zr17Hf23Nb20Ta20,20,17,23,0,20,20,0,0,0
DFT_0285,Ti20Zr20Hf24Ta20Mo16,20,20,24,0,0,20,16,0,0
DFT_0286,Ti22V1Nb71W6,22,0,0,1,71,0,0,6,0
DFT_0287,Ti25Nb20Ta20Mo20W15,25,0,0,0,20,20,20,15,0
DFT_0288,Ti25V20Nb25Mo30,25,0,0,20,25,0,30,0,0
DFT_0289,Ti25Hf27V23Nb25,25,0,27,23,25,0,0,0,0
DFT_0290,Ti25Zr20Hf30Ta25,25,20,30,0,0,25,0,0,0
